url,slug,category,group,title,description
https://pudding.cool/process/how-to-make-dope-shit-part-1,dope-shit-part-1,how,how to blogs,Working with Data,Part 1: How to Make Dope Shit
https://pudding.cool/process/how-to-make-dope-shit-part-2/,dope-shit-part-2,how,how to blogs,Design,Part 2: How to Make Dope Shit
https://pudding.cool/process/how-to-make-dope-shit-part-3/,dope-shit-part-3,how,how to blogs,Storytelling,Part 3: How to Make Dope Shit
https://pudding.cool/process/speaker-rider,speaker-rider,how,how to blogs,We created a speaker rider. Journalism didn’t have one.,
https://pudding.cool/process/pivot-continue-down/,pivot-continue-down,how,how to blogs,"Continue, Pivot, or Put It Down",
https://pudding.cool/process/pitching-gendered-descriptions/,pitching-gendered-descriptions,how,how to blogs,The Courage (and Disappointment) of Pitching a Visual Essay,
https://pudding.cool/process/flexbox-layout/,flexbox-layout,how,how to blogs,Making Data Viz Without SVG Using D3 and Flexbox,
https://pudding.cool/process/scrollytelling-sticky/,scrollytelling-sticky,how,how to blogs,Easier Scrollytelling with Position Sticky,
https://pudding.cool/process/introducing-scrollama/,introducing-scrollama,how,how to blogs,An Introduction to Scrollama.js,
https://pudding.cool/process/resize/,resize,how,how to blogs,How Many Users Resize Their Browser?,
https://pudding.cool/process/weighted-pivot-scatter-plot/,weighted-pivot-scatter-plot,how,how to blogs,The Making of the Weighted Pivot Scatter Plot,
https://pudding.cool/process/regional_smoothing/,regional_smoothing,how,how to blogs,Regional Smoothing in R,
https://pudding.cool/process/responsive-scrollytelling/,responsive-scrollytelling,how,how to blogs,Responsive Scrollytelling Best Practices,
https://pudding.cool/process/how-to-implement-scrollytelling/,how-to-implement-scrollytelling,how,how to blogs,How to Implement Scrollytelling with Six Different Libraries,
https://pudding.cool/pudding-cup,pudding-cup,cup,pudding cup,The Pudding Cup,
https://www.youtube.com/playlist?list=PLsuhXm2zs07I41WG3CReawQhTNNAsZiG-,svelte-way,vlog,live coding,The Svelte Way,3 Episodes
https://www.youtube.com/playlist?list=PLsuhXm2zs07LgUWm2AehKSaCKtC_3-Vld,live-coding-site,vlog,live coding,Live Coding our Site in SvelteKit,25 Episodes
https://www.youtube.com/watch?v=lvgzS0fWtJU&list=PLsuhXm2zs07JuSfrNentA3DxAbaFO7ay2,live-coding-story,vlog,live coding,Living Coding a Story from Start to Finish,50 Episodes
https://www.youtube.com/playlist?list=PLsuhXm2zs07JwrjX7noEDiEtKcD2sO34N,live-coding-sessions,vlog,live coding,Live Coding Sessions,A variety of topics with different team members
https://www.youtube.com/watch?v=SQ7DiSW-C4k,pudding-process,vlog,live coding,The Structure of Stand-Up Comedy,The Pudding Process
https://utsa.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2d669688-fbf4-4e62-85fd-b126013fe4d9,arda,talks,talks & presentations,Oh the Humanity! Making a Personal Impact Through Data Visualization,"Alamo Regional Data Alliance, February 2024"
https://www.youtube.com/watch?v=pJcbZr5VlV4&t=2003s,svelte-summit,talks,talks & presentations,Animating Data Visualization in Svelte,"Svelte Summit, September 2022"
https://www.youtube.com/watch?v=J3Awc4HxDK0,shaping-ideas,talks,talks & presentations,Shaping Ideas into Data Stories,"Data Stories Speaker Series, October 2020"
https://www.youtube.com/watch?v=nFImiNE4ZZg,encode-cr,talks,talks & presentations,From Story-time to Send Off,"Encode 2019, September 2019"
https://journalismcourses.org/course/dataviz/,mooc-1,talks,talks & presentations,What is data storytelling?,"Module 6, Knight Center for Journalism in the Americas, October 2019"
https://vimeo.com/375238181,fun-stories,talks,talks & presentations,Things We’ve Learned From Telling the “Fun” Data Stories,"VIS in Practice 2019, November 2019 "
https://www.youtube.com/watch?v=yQp3Y7nf6Hc,storytelling-chops,talks,talks & presentations,Develop Your Data-Driven Storytelling Chops with Four Simple Principles,"Google Cloud Next, July 2018"
https://switchedonpop.com/episodes/national-anthem-pudding-star-spangled-banner,anthem-pop,podcast,podcasts,The Star Spangled Banger!,"Switched on Pop, February 2024"
https://podcast.data-is-plural.com/2159594/14011826-s2e1-jeans-pockets,data-is-plural-pockets,podcast,podcasts,S2E1: Jeans Pockets,"Data is Plural, November 2023"
https://dev.to/devdiscuss/s8-e2-you-too-can-create-beautiful-data-driven-essays-like-the-pudding,dev-discuss,podcast,podcasts,You Too Can Create Beautiful Data-Driven Essays Like The Pudding,"DevDiscuss, February 2022"
https://anchor.fm/ddjpodcast/episodes/Inside-The-Pudding-e1acop3,data-journalism-podcast,podcast,podcasts,Inside The Pudding,"The Data Journalism Podcast, November 2021"
https://changelog.com/jsparty/193,js-party-193,podcast,podcasts,Puddin’ together cool data-driven essays,"JS Party, September 2021"
https://designobserver.com/article.php?id=40464,db-bd-s9e8,podcast,podcasts,S9E8: Jan Diehm,"The Design of Business | The Business of Design, August 2021"
https://soundcloud.com/datajournalism/episode-28-conversation-with-jan-diehm-the-pudding,conversations-with-data,podcast,podcasts,Episode 28: Conversation with Jan Diehm (The Pudding),"Conversations With Data, May 2021"
https://datastori.es/the-pudding-with-matt-daniels/,data-stories-2,podcast,podcasts,143  |  The Pudding with Matt Daniels,"Data Stories, July 2019"
https://datastori.es/77-polygraph-and-the-journalist-engineer-matt-daniels/,data-stories-1,podcast,podcasts,077  |  Polygraph and The Journalist Engineer Matt Daniels,"Data Stories, July 2016"
https://www.storybench.org/jan-diehm-of-the-pudding-brings-human-centered-design-to-storytelling/,storybench-gayborhoods,press,,Jan Diehm of the Pudding brings human-centered design to storytelling,"Storybench, April 2021"
https://www.storybench.org/how-the-pudding-analyzed-youtube-vlogpologies/,storybench-apology,press,,How The Pudding analyzed YouTube “vlogpologies”,"Storybench, April 2020"
https://www.storybench.org/how-the-pudding-visualized-the-prevalence-of-hyphenated-names-in-sports/,storybench-hyphens,press,,How The Pudding visualized the prevalence of hyphenated names in sports,"Storybench, November 2019"
https://www.storybench.org/how-the-pudding-visualized-the-structure-of-ali-wongs-stand-up-comedy/,storybench-stand-up,press,,How The Pudding visualized the structure of Ali Wong’s stand-up comedy,"Storybench, February 2019"
https://www.storybench.org/pudding-visualized-gender-breakdown-speakers-american-life/,storybench-this-american-life,press,,How The Pudding visualized the gender breakdown of speakers on This American Life,"Storybench, March 2018"
https://www.storybench.org/how-the-pudding-visualized-the-representation-and-treatment-of-female-superheroes/,storybench-comics,press,,How The Pudding visualized the representation and treatment of female superheroes,"Storybench, March 2018"
https://www.storybench.org/pudding-structures-stories-visual-essays/,storybench-the-pudding,press,,How The Pudding structures stories as visual essays,"Storybench, March 2018"
https://www.storybench.org/how-the-pudding-discovered-swing-states-will-suffer-most-from-job-automation/,storybench-jobs,press,,How The Pudding discovered swing states will suffer most from job automation,"Storybench, February 2018"